name	b_date	b_month	b_year	sun_sign	b_country	job
Keanu Reeves	2	September	1964	Virgo	Lebanon	television_actor,_film_actor,_actor,_film_producer,_film_director,_singer,_voice_actor,_musician
Leonardo DiCaprio	11	November	1974	Scorpio	United States	actor,_producer
Johnny Depp	9	June	1963	Gemini	United States	actor
Tom Cruise	3	July	1962	Cancer	United States	actor
Will Smith	25	September	1968	Libra	United States	actor
Robert Downey Jr.	4	April	1965	Aries	United States	actor
Brad Pitt	18	December	1963	Sagittarius	United States	actor
Heath Ledger	4	April	1979	Aries	Australia	actor,_photographer
Joaquin Phoenix	28	October	1974	Scorpio	Puerto Rico	actor
Jim Carrey	17	January	1962	Capricorn	Canada	actor
Harrison Ford	13	July	1942	Cancer	United States	actor
Sean Connery	25	August	1930	Virgo	Scotland	actor
Clint Eastwood	31	May	1930	Gemini	United States	actor
Matthew McConaughey	4	November	1969	Scorpio	United States	actor
Alan Rickman	21	February	1946	Pisces	England	actor
Hugh Jackman	12	October	1968	Libra	Australia	actor,_producer
Patrick Swayze	18	August	1952	Leo	United States	actor
Robert De Niro	17	August	1943	Leo	United States	actor
Benedict Cumberbatch	19	July	1976	Cancer	England	actor
Jake Gyllenhaal	19	December	1980	Sagittarius	United States	actor
Matt Damon	8	October	1970	Libra	United States	actor
Liam Neeson	7	June	1952	Gemini	Northern Ireland	actor
Morgan Freeman	1	June	1937	Gemini	United States	actor
Denzel Washington	28	December	1954	Capricorn	United States	american_actor
Samuel L. Jackson	21	December	1948	Sagittarius	United States	actor
Charlie Chaplin	16	April	1889	Aries	England	comic_actor
Tom Hanks	9	July	1956	Cancer	United States	actor
Al Pacino	25	April	1940	Taurus	United States	actor
Christian Bale	30	January	1974	Aquarius	Wales	actor
Mel Gibson	3	January	1956	Capricorn	United States	actor
Danny DeVito	17	November	1944	Scorpio	United States	actor
John Wayne	26	May	1907	Gemini	United States	actor
Michael Douglas	25	September	1944	Libra	United States	actor,_producer
Jamie Foxx	13	December	1967	Sagittarius	United States	actor
Jack Nicholson	22	April	1937	Taurus	United States	actor,_filmmaker
Bill Murray	21	September	1950	Virgo	United States	actor
Marlon Brando	3	April	1924	Aries	United States	actor
Gary Oldman	21	March	1958	Aries	England	actor
Ralph Fiennes	22	December	1962	Capricorn	England	actor
James Dean	8	February	1931	Aquarius	United States	actor
Paul Newman	26	January	1925	Aquarius	United States	actor
Charles Robert Redford Jr.	18	August	1936	Leo	United States	actor
Philip Seymour Hoffman	23	July	1967	Leo	United States	actor
Ian McKellen	25	May	1939	Gemini	England	actor
Kevin Costner	18	January	1955	Capricorn	United States	actor
Kirk Douglas	9	December	1916	Sagittarius	United States	actor
John Goodman	20	June	1952	Gemini	United States	actor
Christopher Walken	31	March	1943	Aries	United States	actor
Christopher Plummer	13	December	1929	Sagittarius	Canada	actor
Jeff Bridges	4	December	1949	Sagittarius	United States	actor
Russell Crowe	7	April	1964	Aries	New Zealand	actor
Tommy Lee Jones	15	September	1946	Virgo	United States	actor
Clark Gable	1	February	1901	Aquarius	United States	actor
Michael Caine	14	March	1933	Pisces	England	actor
Christoph Waltz	4	October	1956	Libra	Austria	actor
Dwayne Johnson	2	May	1972	Taurus	United States	actor,_professional_wrestler
Dustin Hoffman	8	August	1937	Leo	United States	actor,_director
Jason Momoa	1	August	1979	Leo	United States	actor
Christopher Lee	27	May	1922	Gemini	United Kingdom	actor
Ryan Reynolds	23	October	1976	Libra	Canada	actor
Chris Hemsworth	11	August	1983	Leo	Australia	actor
Chadwick Boseman	29	November	1976	Sagittarius	United States	actor
Javier Bardem	1	March	1969	Pisces	Spain	actor
Cary Grant	18	January	1904	Capricorn	England	actor
Arnold Schwarzenegger	30	July	1947	Leo	Austria	actor
Bruce Lee	27	November	1940	Sagittarius	United States	actor,_martial_artist
Chris Pratt	21	June	1979	Gemini	United States	actor
Chris Evans	13	June	1981	Gemini	United States	actor
Mark Wahlberg	5	June	1971	Gemini	United States	actor
Bradley Cooper	5	January	1975	Capricorn	United States	actor
Zac Efron	18	October	1987	Libra	U.S	actor,_singer
Vin Diesel	18	July	1967	Cancer	United States	actor,_filmmaker
Paul Walker	12	September	1973	Virgo	United States	actor
Benicio Del Toro	19	February	1967	Pisces	Puerto Rico	actor
Adam Sandler	9	September	1966	Virgo	United States	actor
Elvis Presley	8	January	1935	Capricorn	United States	singer,_actor
John Krasinski	20	October	1979	Libra	United States	actor,_director
Rowan Atkinson	6	January	1955	Capricorn	England	actor_&amp;_comedian
Donald Sutherland	17	July	1935	Cancer	Canada	actor
Prince	7	June	1958	Gemini	United States	singer-songwriter
Tom Hardy	15	September	1977	Virgo	United Kingdom	actor
Jackie Chan	7	April	1954	Aries	Hong Kong	actor,_martial_artist
Humphrey Bogart	25	December	1899	Capricorn	United States	actor
Donald Glover	25	September	1983	Libra	United States	actor,_rapper,_stand-up_comedian
Idris Elba	6	September	1972	Virgo	England	actor
Ryan Gosling	12	November	1980	Scorpio	Canada	actor
Jeremy Irons	19	September	1948	Virgo	England	actor
Shah Rukh Khan	2	November	1965	Scorpio	India	film_actor
Eddie Murphy	3	April	1961	Aries	United States	actor
Kevin Hart	6	July	1979	Cancer	United States	comedian
Adam Driver	19	November	1983	Scorpio	United States	actor
Cameron Boyce	28	May	1999	Gemini	United States	actor,_dancer
Nicolas Cage	7	January	1964	Capricorn	United States	actor,_producer
Daniel Radcliffe	23	July	1989	Leo	England	actor
Liam Hemsworth	13	January	1990	Capricorn	Australia	actor
Tom Hiddleston	9	February	1981	Aquarius	United Kingdom	actor
Gregory Peck	5	April	1916	Aries	United States	actor
Rami Malek	12	May	1981	Taurus	United States	actor
Daniel Craig	2	March	1968	Pisces	England	actor
Johnny Cash	26	February	1932	Pisces	United States	singer-songwriter
Robert Pattinson	13	May	1986	Taurus	United Kingdom	actor
George Clooney	6	May	1961	Taurus	United States	actor
Matthew Perry	19	August	1969	Leo	United States	actor
Lin-Manuel Miranda	16	January	1980	Capricorn	United States	actor,_singer-songwriter
Dick Van Dyke	13	December	1925	Sagittarius	United States	actor
Bruce Willis	19	March	1955	Pisces	Germany	actor
Paul Rudd	6	April	1969	Aries	United States	actor
James Franco	19	April	1978	Aries	United States	actor,_filmmaker,_writer
Steve Carell	16	August	1962	Leo	United States	actor
Cillian Murphy	25	May	1976	Gemini	Ireland	actor
Luke Perry	11	October	1966	Libra	United States	actor
Charlton Heston	4	October	1923	Libra	United States	actor
Tom Selleck	29	January	1945	Aquarius	United States	actor
Channing Tatum	26	April	1980	Taurus	United States	actor,_dancer,_producer
Chris Pine	26	February	1980	Pisces	United States	actor
Sean Penn	17	August	1960	Leo	United States	actor
Daniel Day-Lewis	29	April	1957	Taurus	England	actor
Ewan McGregor	31	March	1971	Aries	Scotland	actor
Burt Reynolds	11	February	1936	Aquarius	United States	actor
James McAvoy	21	April	1979	Taurus	United Kingdom	actor
Charlie Sheen	3	September	1965	Virgo	United States	actor
Matt LeBlanc	25	July	1967	Leo	United States	actor
Michael Fassbender	2	April	1977	Aries	Germany	actor
Michael J. Fox	9	June	1961	Gemini	Canada	actor
Ben Kingsley	31	December	1943	Capricorn	England	actor
Josh Brolin	12	February	1968	Aquarius	United States	actor
Jeffrey Dean Morgan	22	April	1966	Taurus	United States	actor
Dave Bautista	18	January	1969	Capricorn	United States	professional_wrestler,_actor
Peter Dinklage	11	June	1969	Gemini	United States	actor
Jack Black	28	August	1969	Virgo	United States	actor
Woody Harrelson	23	July	1961	Leo	United States	actor,_activist
Sebastian Stan	13	August	1982	Leo	Romania	actor
Gerard Butler	13	November	1969	Scorpio	Scotland	actor
Jon Favreau	19	October	1966	Libra	United States	actor
Sam Elliott	9	August	1944	Leo	United States	actor
Bill Skarsgard	9	August	1990	Leo	Sweden	actor
Patrick Stewart	13	July	1940	Cancer	England	actor
Richard Burton	10	November	1925	Scorpio	Wales	actor
Orlando Bloom	13	January	1977	Capricorn	England	actor
Peter O'Toole	2	August	1932	Leo	England	actor
Mark Hamill	25	September	1951	Libra	United States	actor
Michael B. Jordan	9	February	1987	Aquarius	United States	actor
Henry Fonda	16	May	1905	Taurus	United States	actor
Mark Ruffalo	22	November	1967	Sagittarius	United States	actor
Amitabh Bachchan	11	October	1942	Libra	India	actor
Sidney Poitier	20	February	1927	Pisces	United States	actor
Jeff Goldblum	22	October	1952	Libra	United States	actor
Ben Affleck	15	August	1972	Leo	United States	actor
Evan Peters	20	January	1987	Aquarius	United States	actor
Jason Bateman	14	January	1969	Capricorn	United States	actor
Charlie Hunnam	10	April	1980	Aries	England	actor
Steven McQueen	24	March	1930	Aries	United States	actor
Pierce Brosnan	16	May	1953	Taurus	Ireland	actor
Will Ferrell	16	July	1967	Cancer	United States	actor
Dave Franco	12	June	1985	Gemini	United States	actor
Gene Wilder	11	June	1933	Gemini	United States	actor
Peter Sellers	8	September	1925	Virgo	United Kingdom	film_actor
Dylan O’Brien	26	August	1991	Virgo	United States	actor
Gene Hackman	30	January	1930	Aquarius	United States	actor
Jim Parsons	24	March	1973	Aries	United States	actor
Laurence Olivier	22	May	1907	Gemini	England	actor
John Candy	31	October	1950	Scorpio	Canada	actor,_comedian
Ben Stiller	30	November	1965	Sagittarius	United States	actor
Rob Lowe	17	March	1964	Pisces	United States	actor
Dave Chappelle	24	August	1973	Virgo	United States	stand-up_comedian
Oscar Isaac	9	March	1979	Pisces	Guatemala	actor
Alec Guinness	2	April	1914	Aries	England	actor
Wentworth Miller	2	June	1972	Gemini	United Kingdom	actor
Brendan Fraser	3	December	1968	Sagittarius	United States	actor
Cole Sprouse	4	August	1992	Leo	Italy	actor
Michael Keaton	5	September	1951	Virgo	United States	actor
Finn Wolfhard	23	December	2002	Capricorn	Canada	actor
Eddie Redmayne	6	January	1982	Capricorn	England	actor
Stanley Tucci	11	November	1960	Scorpio	United States	actor
Richard Gere	31	August	1949	Virgo	United States	actor
David Schwimmer	2	November	1966	Scorpio	United States	actor
Hayden Christensen	19	April	1981	Aries	Canada	actor
Robert Mitchum	6	August	1917	Leo	United States	actor
Owen Wilson	18	November	1968	Scorpio	United States	actor
Andrew Garfield	20	August	1983	Leo	United States	actor
Alan Arkin	26	March	1934	Aries	United States	actor_and_director
James Earl Jones	17	January	1931	Capricorn	United States	actor
Ken Jeong	13	July	1969	Cancer	United States	comedian,_actor
Ian Somerhalder	8	December	1978	Sagittarius	United States	actor
Joseph Gordon-Levitt	17	February	1981	Aquarius	United States	actor,_director
Aamir Khan	14	March	1965	Pisces	India	actor
Michael Clarke Duncan	10	December	1957	Sagittarius	United States	actor
James Spader	7	February	1960	Aquarius	United States	actor
David Tennant	18	April	1971	Aries	Scotland	actor
Jaden Smith	8	July	1998	Cancer	United States	rapper,_actor
Tim Allen	13	June	1953	Gemini	United States	actor
Jude Law	29	December	1972	Capricorn	England	actor
Seth Rogen	15	April	1982	Aries	Canada	actor,_comedian
Tim Curry	19	April	1946	Aries	England	actor
Hugh Grant	9	September	1960	Virgo	England	actor
Michael Sheen	5	February	1969	Aquarius	Wales	actor
Tom Ellis	17	November	1978	Scorpio	Wales	actor
Kevin Norwood Bacon	8	July	1958	Cancer	United States	actor
Stellan Skarsgård	13	June	1951	Gemini	Sweden	actor
Richard Madden	18	June	1986	Gemini	Scotland	actor
Luke Hemsworth	5	November	1981	Scorpio	Australia	actor
Neil Patrick Harris	15	June	1973	Gemini	United States	actor
Mark Harmon	2	September	1951	Virgo	United States	actor
Jon Voight	29	December	1938	Capricorn	United States	actor
Dan Bilzerian	7	December	1980	Sagittarius	United States	actor
William Shatner	22	March	1931	Aries	Canada	actor
Dean Martin	7	June	1917	Gemini	United States	singer
Dennis Quaid	9	April	1954	Aries	United States	actor
Christopher Reeve	25	September	1952	Libra	United States	actor
Jonah Hill	20	December	1983	Sagittarius	United States	actor
Tobey Maguire	27	June	1975	Cancer	United States	actor
Emilio Estevez	12	May	1962	Taurus	United States	actor
Michele Morrone	3	October	1990	Libra	Italy	actor,_model
Jared Leto	26	December	1971	Capricorn	United States	american_actor
Bill Paxton	17	May	1955	Taurus	United States	actor
Charles Bronson	13	November	1921	Scorpio	United States	actor
Colin Farrell	31	May	1976	Gemini	Ireland	actor
Gaten Matarazzo	8	September	2002	Virgo	United States	actor
Ethan Hawke	6	November	1970	Scorpio	United States	actor
Willem Dafoe	22	July	1955	Cancer	United States	actor
Tyler Perry	13	September	1969	Virgo	United States	actor
Billy Bob Thornton	4	August	1955	Leo	United States	actor
Jean-Claude Van Damme	18	October	1960	Libra	Belgium	actor
John Cena	23	April	1977	Taurus	United States	wrestler,_actor
John Ritter	17	September	1948	Virgo	United States	actor
James Marsden	18	September	1973	Virgo	United States	actor
Milo Ventimiglia	8	July	1977	Cancer	United States	actor
Chris Farley	15	February	1964	Aquarius	United States	actor
Sean Bean	17	April	1959	Aries	United Kingdom	actor
Steve Buscemi	13	December	1957	Sagittarius	United States	actor
Mads Mikkelsen	22	November	1965	Sagittarius	Denmark	actor
Dolph Lundgren	3	November	1957	Scorpio	Sweden	actor
Aaron Paul	27	August	1979	Virgo	United States	actor
David Harbour	10	April	1975	Aries	United States	actor
Anton Yelchin	11	March	1989	Pisces	Russia	actor
William Holden	17	April	1918	Aries	U.S.	actor
John Stamos	19	August	1963	Leo	United States	actor
Roger Moore	14	October	1927	Libra	England	actor
Jon Hamm	10	March	1971	Pisces	United States	actor
Martin Freeman	8	September	1971	Virgo	England	actor
Casey Affleck	12	August	1975	Leo	United States	actor
Steve Martin	14	August	1945	Leo	United States	comedian
John Belushi	24	January	1949	Aquarius	United States	comedian,_actor
Sam Claflin	27	June	1986	Cancer	England	actor
Jamie Dornan	1	May	1982	Taurus	Northern Ireland	actor
Antonio Banderas	10	August	1960	Leo	Spain	actor
Norman Reedus	6	January	1969	Capricorn	United States	actor
Viggo Mortensen	20	October	1958	Libra	United States	actor
Zachary Levi	29	September	1980	Libra	United States	actor
Jason Sudeikis	18	September	1975	Virgo	United States	actor
Danny Trejo	16	May	1944	Taurus	United States	actor
Timothée Chalamet	27	December	1995	Capricorn	United States	actor
Ralph Macchio	4	November	1961	Scorpio	United States	actor
Christopher Lloyd	22	October	1938	Libra	United States	actor
Thomas Brodie-Sangster	16	May	1990	Taurus	United Kingdom	actor
Richard Harris	1	October	1930	Libra	Ireland	actor
Jensen Ackles	1	March	1978	Pisces	United States	actor
Patrick Dempsey	13	January	1966	Capricorn	United States	actor
Buster Keaton	4	October	1895	Libra	United States	actor,_director
Sam Rockwell	5	November	1968	Scorpio	United States	actor
Nicholas Hoult	7	December	1989	Sagittarius	United Kingdom	actor
Sean Astin	25	February	1971	Pisces	United States	actor
Rupert Grint	24	August	1988	Virgo	England	actor
Chevy Chase	8	October	1943	Libra	United States	actor,_comedian
Hugh Laurie	11	June	1959	Gemini	England	actor
Gary Cooper	7	May	1901	Taurus	United States	actor
Scott Eastwood	21	March	1986	Aries	United States	actor
Josh Duhamel	14	November	1972	Scorpio	United States	actor
Sharon Stone	10	March	1958	Pisces	United States	actress,_producer
Don Johnson	15	December	1949	Sagittarius	United States	actor
Ashton Kutcher	7	February	1978	Aquarius	United States	actor,_producer,_model,_investor
Mike Myers	25	May	1963	Gemini	Canada	actor
Dev Patel	3	April	1990	Aries	England	actor
Aaron Taylor-Johnson	13	June	1990	Gemini	England	actor
Ricky Gervais	25	June	1961	Cancer	England	actor,_comedian
John Cusack	28	June	1966	Cancer	United States	actor
Wesley Snipes	31	July	1962	Leo	United States	actor
Andy Serkis	20	April	1964	Taurus	United Kingdom	actor
Shemar Moore	20	April	1970	Taurus	United States	actor
Jesse Eisenberg	5	October	1983	Libra	United States	actor
John Mulaney	26	August	1982	Virgo	United States	comedian
John Travolta	18	February	1954	Aquarius	United States	actor
Matt Bomer	11	October	1977	Libra	United States	actor
Patrick Wilson	3	July	1973	Cancer	United States	actor
Seth MacFarlane	26	October	1973	Scorpio	United States	actor
Timothy Olyphant	20	May	1968	Taurus	United States	actor
Elijah Wood	28	January	1981	Aquarius	United States	actor
Thomas Felton	22	September	1987	Virgo	England	actor
Will Arnett	4	May	1970	Taurus	Canada	actor
River Phoenix	23	August	1970	Virgo	United States	actor
John Malkovich	9	December	1953	Sagittarius	United States	actor
Albert Finney	9	May	1936	Taurus	England	actor
Vince Vaughn	28	March	1970	Aries	United States	actor
Rob Schneider	31	October	1963	Scorpio	United States	actor,_comedian
Jared Padalecki	19	June	1982	Gemini	United States	actor
Kenneth Branagh	10	December	1960	Sagittarius	Northern Ireland	actor,_director
Ryan Phillippe	10	September	1974	Virgo	United States	actor
Bernie Mac	5	October	1957	Libra	United States	actor,_comedian
Bill Goldberg	27	December	1966	Capricorn	United States	professional_wrestler
Jon Bernthal	20	September	1976	Virgo	U.S.	actor
Nick Cannon	8	October	1980	Libra	United States	actor
Georges St-Pierre	19	May	1981	Taurus	Canada	mixed_martial_artist
Brandon Lee	1	February	1965	Aquarius	United States	actor
Dilip Kumar	11	December	1922	Sagittarius	Pakistan	actor
Chris Rock	7	February	1965	Aquarius	United States	standup_comedian,_actor
David Spade	22	July	1964	Cancer	United States	actor
Adrien Brody	14	April	1973	Aries	United States	actor,_producer
Laurence Fishburne	30	July	1961	Leo	United States	actor
Sam Heughan	30	April	1980	Taurus	United Kingdom	actor
Jerry Lewis	16	March	1926	Pisces	United States	comedian,_actor,_singer
Nikolaj Coster-Waldau	27	July	1970	Leo	Denmark	actor
George C. Scott	18	October	1927	Libra	U.S	american_film_actor
Michael Landon	31	October	1936	Scorpio	United States	actor
Jack Whitehall	7	July	1988	Cancer	England	comedian
Colin Hanks	24	November	1977	Sagittarius	United States	actor
Song Joong-ki	19	September	1985	Virgo	South Korea	actor
Matthew Broderick	21	March	1962	Aries	United States	actor
Jack Lemmon	8	February	1925	Aquarius	United States	actor
Wilmer Valderrama	30	January	1980	Aquarius	United States	actor
Steve Harvey	17	January	1957	Capricorn	United States	comedian
Christian Slater	18	August	1969	Leo	United States	actor
Noah Centineo	9	May	1996	Taurus	United States	actor
Anthony Quinn	21	April	1915	Taurus	Mexico	actor
LL Cool J	14	January	1968	Capricorn	United States	rapper,_actor
Michael C. Hall	1	February	1971	Aquarius	United States	actor
Jet Li	26	April	1963	Taurus	China	actor,_martial_artist
Forest Whitaker	15	July	1961	Cancer	United States	actor
Michael Cera	7	June	1988	Gemini	Canada	actor
Vincent D Onofrio	30	June	1959	Cancer	United States	actor
Aziz Ansari	23	February	1983	Pisces	United States	actor,_comedian
Mandy Patinkin	30	November	1952	Sagittarius	United States	actor
Mr. T	21	May	1952	Gemini	United States	actor
Sam Shepard	5	November	1943	Scorpio	United States	actor
David Walliams	20	August	1971	Leo	England	comedian
Lee Marvin	19	February	1924	Pisces	United States	actor
Stephen Amell	8	May	1981	Taurus	Canada	actor
Rainn Wilson	20	January	1966	Aquarius	United States	actor
Richard Attenborough	29	August	1923	Virgo	England	british_politician
Pat Morita	28	June	1932	Cancer	United States	actor,_comedian
Spike Lee	20	March	1957	Pisces	United States	film_director
Travis Fimmel	15	July	1979	Cancer	Australia	actor
Jonathan Taylor Thomas	8	September	1981	Virgo	United States	actor
Bob Newhart	5	September	1929	Virgo	United States	actor,_comedian
David Carradine	8	December	1936	Sagittarius	United States	actor
Dan Aykroyd	1	July	1952	Cancer	Canada	actor
Michael Peña	13	January	1976	Capricorn	United States	actor
Stephen Fry	24	August	1957	Virgo	United Kingdom	actor
Haley Joel Osment	10	April	1988	Aries	United States	actor
Chad Michael Murray	24	August	1981	Virgo	United States	actor
Corey Feldman	16	July	1971	Cancer	United States	actor,_musician_&amp;_activist
Sylvester Stallone	6	July	1946	Cancer	United States	actor,_director
Simon Pegg	14	February	1970	Aquarius	United Kingdom	actor
Josh Hartnett	21	July	1978	Cancer	United States	actor
Henry Winkler	30	October	1945	Scorpio	United States	actor
Leonard Nimoy	26	March	1931	Aries	United States	actor,_director
J.J. Abrams	27	June	1966	Cancer	United States	american_film_director
Mickey Rourke	16	September	1956	Virgo	United States	actor
Stephen Baldwin	12	May	1966	Taurus	United States	actor
Chiwetel Ejiofor	10	July	1974	Cancer	England	actor
Michael Shannon	7	August	1974	Leo	United States	actor
Giancarlo Esposito	26	April	1958	Taurus	Denmark	actor
Charlie Murphy	12	July	1959	Cancer	United States	actor,_comedian
Martin Lawrence	16	April	1965	Aries	Germany	comedian
Josh Gad	23	February	1981	Pisces	United States	actor,_voice_actor
Bob Odenkirk	22	October	1962	Libra	United States	actor
Joe Manganiello	28	December	1976	Capricorn	United States	actor
Hafþór Júlíus Björnsson	26	November	1988	Sagittarius	Iceland	strongman
Josh Groban	27	February	1981	Pisces	United States	singer-songwriter
Carl Weathers	14	January	1948	Capricorn	United States	actor
Gene Simmons	25	August	1949	Virgo	Israel	musician
Mark Strong	5	August	1963	Leo	United Kingdom	actor
Ludacris	11	September	1977	Virgo	United States	rapper
Mickey Rooney	23	September	1920	Libra	United States	actor
Danny Glover	22	July	1946	Cancer	U.S.	american_actor
James Brolin	18	July	1940	Cancer	United States	actor
Eric Roberts	18	April	1956	Aries	United States	actor
James Garner	7	April	1928	Aries	United States	actor
Paul Hogan	8	October	1939	Libra	Australia	actor
Sam Neill	14	September	1947	Virgo	Northern Ireland	actor,_wine_maker
Will Poulter	28	January	1993	Aquarius	England	actor
Damon Wayans	4	September	1960	Virgo	United States	actor
David Arquette	8	September	1971	Virgo	United States	actor
James Cagney	17	July	1899	Cancer	United States	actor,_dancer
Robbie Amell	21	April	1988	Taurus	Canada	actor
Rick Moranis	18	April	1953	Aries	Canada	actor,_comedian
Warren Beatty	30	March	1937	Aries	United States	actor
Paul Wesley	23	July	1982	Leo	United States	actor
David Hasselhoff	17	July	1952	Cancer	United States	actor
